Sentence,Category
"1,Attachments Attachment Information Directors ADVANCs Subsidiaries Attachment Corporate Governance Policy Business Ethics case Annual Report Form Report reference information disclose Companys website disclose information shall bedeeme form report",Governance
"2,Board Directors certify correctness completeness disclose information annual information disclosure form report",Governance
"3,evaluation independent counselor conduct year director rotation annually nonExecutive Directors Board Directors Meeting evaluation female director form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Message Chairman CEO Dear",Governance
"4,shareholder amid economic challenge AIS commit develop digital infrastructure pursuit deliver fine service experience customer",Social
"5,year Thai economy gradually recover wake acceleration economic activity follow subside covid pandemic",Social
"6,macroeconomic factor fastchange global situation bring confluence factor include rise energy cost increase inflation pose challenge sector Thailand",Social
"7,regardless difficulty AIS remain fully committed continuously improve service experience differentiate service quality standard support Thailands digital economic activity customer grow demand technological advance prompt digital disruption",Social
"8,investment billion baht AIS achieve target expand G network cover total Thai population develop fullservice g ecosystem result exponential growth g user year",Social
"10,endeavor instrumental drive Thailands digital economy contribute enormously achievement business target",Social
"11,AIS strive grow Digital Life Service Provider Cognitive techco amid economic volatility address need effectively deliver superior service excellence customer Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement addition accelerate",Governance
"12,growth core business determined continue improve capability human capital enhance internal cost management control cope rise cost challenge",Social
"13,year incorporate digital technology work process cost optimization program economic condition limit pass superior service customer deliver great return shareholder",Social
"15,foster robust digital ecosystem partner multiple sector create mutual growth deliver high privilege customer",Social
"16,forefront digital service provider AIS pledge leader development digital ecosystem",Social
"17,digitalization effort efficient infrastructure digital ecosystem cater application enhance potential competitiveness help achieve mutual growth party",Social
"18,previous year cooperation partner AIS develop improve product service portfolio consolidate digital ecosystem Thailand central G Nextgen platform allow Thai business sector explore apply Genabled solution good suit business streamline work process enhance competitiveness different sphere",Social
"19,AIS CloudX Drawing collaborative effort partner unrivaled expertise product support enterprise client flexible cloud management",Social
"20,distinctive capability connect digital infrastructure G network securely conveniently offer friendly alternative enterprise customer access highly secure cloud service",Social
"21,Data Center Gulf Singtel AIS enter agreement establish data center business cater fast grow digital usage Thailand",Social
"23,aside digital ecosystem dedicated develop diverse comprehensive privilege point ecosystem elevate service experience value customer",Social
"25,effort AIS key strategy foster strong tie AIS customer help strengthen AIS competitiveness long term",Social
"26,prime challenge transformation Cognitive TechCo anticipate Thai global economy face myriad risk challenge AIS relentless transform Digital Life Service Provider Cognitive techco ensure stakeholder notwithstanding economic volatility disruption AIS business operation service delivery poise address demand deliver exceptional service",Social
